LineId,type,time,Content,EventId,EventTemplate,ParameterList
1208,SERVICE_START,1583785202.515:143,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=user@126 comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=user@126 comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1209,USER_START,1583785202.519:144,"pid=2554 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:session_open acct=""gdm"" exe=""/usr/lib/gdm3/gdm-session-worker"" hostname=UbuntuApp addr=? terminal=/dev/tty1 res=success'",04e1992d,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=UbuntuApp addr=? <*> res=success',"['2554', '0', '4294967295', '4294967295', 'msg=\'op=PAM:session_open acct=""gdm"" exe=""/usr/lib/gdm3/gdm-session-worker""', 'terminal=/dev/tty1']"
1210,USER_END,1583785202.627:145,"pid=2554 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:session_close acct=""gdm"" exe=""/usr/lib/gdm3/gdm-session-worker"" hostname=UbuntuApp addr=? terminal=/dev/tty1 res=success'",04e1992d,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=UbuntuApp addr=? <*> res=success',"['2554', '0', '4294967295', '4294967295', 'msg=\'op=PAM:session_close acct=""gdm"" exe=""/usr/lib/gdm3/gdm-session-worker""', 'terminal=/dev/tty1']"
1211,CRED_DISP,1583785202.627:146,"pid=2554 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""gdm"" exe=""/usr/lib/gdm3/gdm-session-worker"" hostname=UbuntuApp addr=? terminal=/dev/tty1 res=success'",04e1992d,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=UbuntuApp addr=? <*> res=success',"['2554', '0', '4294967295', '4294967295', 'msg=\'op=PAM:setcred acct=""gdm"" exe=""/usr/lib/gdm3/gdm-session-worker""', 'terminal=/dev/tty1']"
1212,USER_AUTH,1583785202.667:147,"pid=2588 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:authentication acct=""gdm"" exe=""/usr/lib/gdm3/gdm-session-worker"" hostname=UbuntuApp addr=? terminal=/dev/tty1 res=success'",04e1992d,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=UbuntuApp addr=? <*> res=success',"['2588', '0', '4294967295', '4294967295', 'msg=\'op=PAM:authentication acct=""gdm"" exe=""/usr/lib/gdm3/gdm-session-worker""', 'terminal=/dev/tty1']"
1213,USER_ACCT,1583785202.667:148,"pid=2588 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""gdm"" exe=""/usr/lib/gdm3/gdm-session-worker"" hostname=UbuntuApp addr=? terminal=/dev/tty1 res=success'",04e1992d,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=UbuntuApp addr=? <*> res=success',"['2588', '0', '4294967295', '4294967295', 'msg=\'op=PAM:accounting acct=""gdm"" exe=""/usr/lib/gdm3/gdm-session-worker""', 'terminal=/dev/tty1']"
1214,SERVICE_STOP,1583785202.671:149,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=user@126 comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=user@126 comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1215,CRED_ACQ,1583785202.671:150,"pid=2588 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""gdm"" exe=""/usr/lib/gdm3/gdm-session-worker"" hostname=UbuntuApp addr=? terminal=/dev/tty1 res=success'",04e1992d,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=UbuntuApp addr=? <*> res=success',"['2588', '0', '4294967295', '4294967295', 'msg=\'op=PAM:setcred acct=""gdm"" exe=""/usr/lib/gdm3/gdm-session-worker""', 'terminal=/dev/tty1']"
1216,USER_ACCT,1583785202.703:151,"pid=2594 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:accounting acct=""gdm"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['2594', '0', '4294967295', '4294967295', 'msg=\'op=PAM:accounting acct=""gdm"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1217,CRED_ACQ,1583785202.703:152,"pid=2594 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:setcred acct=""gdm"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['2594', '0', '4294967295', '4294967295', 'msg=\'op=PAM:setcred acct=""gdm"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
