LineId,type,time,Content,EventId,EventTemplate,ParameterList
1,DAEMON_START,1583678591.383:7307,op=start ver=2.8.2 format=raw kernel=5.0.0-1032-azure auid=4294967295 pid=6409 uid=0 ses=4294967295 subj=unconfined  res=success,e2797d68,op=start ver=<*>.<*>.<*> format=raw kernel=<*>.<*>.<*>-<*>-azure auid=<*> pid=<*> uid=<*> ses=<*> subj=unconfined res=success,"['2', '8.2', '5', '0.0-1032', '4294967295', '6409', '0', '4294967295']"
2,CONFIG_CHANGE,1583678591.415:42,audit_backlog_limit=8192 old=64 auid=4294967295 ses=4294967295 res=1,943a7bd2,audit_backlog_limit=<*> old=<*> auid=<*> ses=<*> <*>,"['8192', '64', '4294967295', '4294967295 res=1']"
3,CONFIG_CHANGE,1583678591.419:43,audit_failure=1 old=1 auid=4294967295 ses=4294967295 res=1,4f0a1bc9,audit_failure=<*> old=<*> auid=<*> ses=<*> <*>,"['1', '1', '4294967295', '4294967295 res=1']"
4,CONFIG_CHANGE,1583678591.419:44,audit_backlog_wait_time=0 old=15000 auid=4294967295 ses=4294967295 res=1,ff4db8d1,audit_backlog_wait_time=<*> old=<*> auid=<*> ses=<*> <*>,"['0', '15000', '4294967295', '4294967295 res=1']"
5,SERVICE_START,1583678591.423:45,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=auditd comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=auditd comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
6,USER_END,1583678593.475:46,"pid=6234 uid=0 auid=1000 ses=5 msg='op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6234', '0', '1000', '5', 'msg=\'op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
7,CRED_DISP,1583678593.475:47,"pid=6234 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6234', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
8,USER_CMD,1583678613.815:48,"pid=6627 uid=1000 auid=1000 ses=5 msg='cwd=""/home/sepses"" cmd=6E616E6F202F6574632F61756469742F61756469742E636F6E66 terminal=pts/0 res=success'",7ca59cdf,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> terminal=pts/<*> <*>,"['6627', '1000', '1000', '5', 'msg=\'cwd=""/home/sepses"" cmd=6E616E6F202F6574632F61756469742F61756469742E636F6E66', ""0 res=success'""]"
9,CRED_REFR,1583678613.815:49,"pid=6627 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6627', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
10,USER_START,1583678613.815:50,"pid=6627 uid=0 auid=1000 ses=5 msg='op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6627', '0', '1000', '5', 'msg=\'op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
11,USER_END,1583678617.591:51,"pid=6627 uid=0 auid=1000 ses=5 msg='op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6627', '0', '1000', '5', 'msg=\'op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
12,CRED_DISP,1583678617.591:52,"pid=6627 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6627', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
13,USER_CMD,1583678631.447:53,"pid=6645 uid=1000 auid=1000 ses=5 msg='cwd=""/home/sepses"" cmd=73797374656D63746C20656E61626C6520617564697464 terminal=pts/0 res=success'",7ca59cdf,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> terminal=pts/<*> <*>,"['6645', '1000', '1000', '5', 'msg=\'cwd=""/home/sepses"" cmd=73797374656D63746C20656E61626C6520617564697464', ""0 res=success'""]"
14,CRED_REFR,1583678631.447:54,"pid=6645 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6645', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
15,USER_START,1583678631.447:55,"pid=6645 uid=0 auid=1000 ses=5 msg='op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6645', '0', '1000', '5', 'msg=\'op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
16,USER_END,1583678632.143:56,"pid=6645 uid=0 auid=1000 ses=5 msg='op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6645', '0', '1000', '5', 'msg=\'op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
17,CRED_DISP,1583678632.143:57,"pid=6645 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6645', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
18,USER_CMD,1583678636.211:58,"pid=6737 uid=1000 auid=1000 ses=5 msg='cwd=""/home/sepses"" cmd=6E616E6F202F6574632F61756469742F61756469742E636F6E66 terminal=pts/0 res=success'",7ca59cdf,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> terminal=pts/<*> <*>,"['6737', '1000', '1000', '5', 'msg=\'cwd=""/home/sepses"" cmd=6E616E6F202F6574632F61756469742F61756469742E636F6E66', ""0 res=success'""]"
19,CRED_REFR,1583678636.211:59,"pid=6737 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6737', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
20,USER_START,1583678636.211:60,"pid=6737 uid=0 auid=1000 ses=5 msg='op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6737', '0', '1000', '5', 'msg=\'op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
21,USER_END,1583678639.863:61,"pid=6737 uid=0 auid=1000 ses=5 msg='op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6737', '0', '1000', '5', 'msg=\'op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
22,CRED_DISP,1583678639.863:62,"pid=6737 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6737', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
23,USER_CMD,1583678659.795:63,"pid=6836 uid=1000 auid=1000 ses=5 msg='cwd=""/home/sepses"" cmd=6E616E6F202F6574632F61756469742F terminal=pts/0 res=success'",7ca59cdf,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> terminal=pts/<*> <*>,"['6836', '1000', '1000', '5', 'msg=\'cwd=""/home/sepses"" cmd=6E616E6F202F6574632F61756469742F', ""0 res=success'""]"
24,CRED_REFR,1583678659.795:64,"pid=6836 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6836', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
25,USER_START,1583678659.795:65,"pid=6836 uid=0 auid=1000 ses=5 msg='op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6836', '0', '1000', '5', 'msg=\'op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
26,USER_END,1583678661.891:66,"pid=6836 uid=0 auid=1000 ses=5 msg='op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6836', '0', '1000', '5', 'msg=\'op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
27,CRED_DISP,1583678661.891:67,"pid=6836 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6836', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
28,USER_CMD,1583678682.708:68,"pid=6889 uid=1000 auid=1000 ses=5 msg='cwd=""/home/sepses"" cmd=6364202F6574632F61756469742F terminal=pts/0 res=failed'",7ca59cdf,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> terminal=pts/<*> <*>,"['6889', '1000', '1000', '5', 'msg=\'cwd=""/home/sepses"" cmd=6364202F6574632F61756469742F', ""0 res=failed'""]"
29,USER_CMD,1583678768.932:69,"pid=6978 uid=1000 auid=1000 ses=5 msg='cwd=""/home/sepses"" cmd=""-bash"" terminal=pts/0 res=success'",7ca59cdf,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> terminal=pts/<*> <*>,"['6978', '1000', '1000', '5', 'msg=\'cwd=""/home/sepses"" cmd=""-bash""', ""0 res=success'""]"
30,CRED_REFR,1583678768.932:70,"pid=6978 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6978', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
31,USER_START,1583678768.932:71,"pid=6978 uid=0 auid=1000 ses=5 msg='op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['6978', '0', '1000', '5', 'msg=\'op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
32,USER_CMD,1583678789.373:72,"pid=7024 uid=0 auid=1000 ses=5 msg='cwd=""/etc/audit"" cmd=6E616E6F2061756469742E636F6E66 terminal=pts/0 res=success'",7ca59cdf,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> terminal=pts/<*> <*>,"['7024', '0', '1000', '5', 'msg=\'cwd=""/etc/audit"" cmd=6E616E6F2061756469742E636F6E66', ""0 res=success'""]"
33,CRED_REFR,1583678789.373:73,"pid=7024 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['7024', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
34,USER_START,1583678789.373:74,"pid=7024 uid=0 auid=1000 ses=5 msg='op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['7024', '0', '1000', '5', 'msg=\'op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
35,USER_END,1583678791.365:75,"pid=7024 uid=0 auid=1000 ses=5 msg='op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['7024', '0', '1000', '5', 'msg=\'op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
36,CRED_DISP,1583678791.365:76,"pid=7024 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/0 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['7024', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/0 res=success'""]"
37,USER_AUTH,1583679048.459:77,"pid=7331 uid=1000 auid=1000 ses=5 msg='op=PAM:authentication acct=""sepses"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/1 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['7331', '1000', '1000', '5', 'msg=\'op=PAM:authentication acct=""sepses"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/1 res=success'""]"
38,USER_ACCT,1583679048.459:78,"pid=7331 uid=1000 auid=1000 ses=5 msg='op=PAM:accounting acct=""sepses"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/1 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['7331', '1000', '1000', '5', 'msg=\'op=PAM:accounting acct=""sepses"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/1 res=success'""]"
39,USER_CMD,1583679048.459:79,"pid=7331 uid=1000 auid=1000 ses=5 msg='cwd=""/home/sepses/Documents"" cmd=73797374656D63746C207265737461727420617564697464 terminal=pts/1 res=success'",7ca59cdf,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> terminal=pts/<*> <*>,"['7331', '1000', '1000', '5', 'msg=\'cwd=""/home/sepses/Documents"" cmd=73797374656D63746C207265737461727420617564697464', ""1 res=success'""]"
40,CRED_REFR,1583679048.459:80,"pid=7331 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/1 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['7331', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/1 res=success'""]"
41,USER_START,1583679048.459:81,"pid=7331 uid=0 auid=1000 ses=5 msg='op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/1 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['7331', '0', '1000', '5', 'msg=\'op=PAM:session_open acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/1 res=success'""]"
42,DAEMON_END,1583679048.480:7308,op=terminate auid=0 pid=1 subj= res=success,f73a699e,op=terminate auid=<*> pid=<*> <*> <*>,"['0', '1', 'subj= res=success']"
43,DAEMON_START,1583679048.506:2762,op=start ver=2.8.2 format=raw kernel=5.0.0-1032-azure auid=4294967295 pid=7345 uid=0 ses=4294967295 subj=unconfined  res=success,e2797d68,op=start ver=<*>.<*>.<*> format=raw kernel=<*>.<*>.<*>-<*>-azure auid=<*> pid=<*> uid=<*> ses=<*> subj=unconfined res=success,"['2', '8.2', '5', '0.0-1032', '4294967295', '7345', '0', '4294967295']"
44,CONFIG_CHANGE,1583679048.567:87,audit_backlog_limit=8192 old=8192 auid=4294967295 ses=4294967295 res=1,943a7bd2,audit_backlog_limit=<*> old=<*> auid=<*> ses=<*> <*>,"['8192', '8192', '4294967295', '4294967295 res=1']"
45,CONFIG_CHANGE,1583679048.567:88,audit_failure=1 old=1 auid=4294967295 ses=4294967295 res=1,4f0a1bc9,audit_failure=<*> old=<*> auid=<*> ses=<*> <*>,"['1', '1', '4294967295', '4294967295 res=1']"
46,CONFIG_CHANGE,1583679048.567:89,audit_backlog_wait_time=0 old=0 auid=4294967295 ses=4294967295 res=1,ff4db8d1,audit_backlog_wait_time=<*> old=<*> auid=<*> ses=<*> <*>,"['0', '0', '4294967295', '4294967295 res=1']"
47,CONFIG_CHANGE,1583679048.571:90,"auid=4294967295 ses=4294967295 op=add_rule key=""sepses"" list=4 res=1",a656e353,auid=<*> ses=<*> <*> <*> list=<*> <*>,"['4294967295', '4294967295', 'op=add_rule key=""sepses""', '4 res=1']"
48,SERVICE_START,1583679048.571:91,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=auditd comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=auditd comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
49,USER_END,1583679048.575:92,"pid=7331 uid=0 auid=1000 ses=5 msg='op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/1 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['7331', '0', '1000', '5', 'msg=\'op=PAM:session_close acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/1 res=success'""]"
50,CRED_DISP,1583679048.575:93,"pid=7331 uid=0 auid=1000 ses=5 msg='op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo"" hostname=? addr=? terminal=/dev/pts/1 res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['7331', '0', '1000', '5', 'msg=\'op=PAM:setcred acct=""root"" exe=""/usr/bin/sudo""', ""terminal=/dev/pts/1 res=success'""]"
51,SERVICE_START,1583679114.363:94,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=systemd-tmpfiles-clean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=systemd-tmpfiles-clean comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
52,SERVICE_STOP,1583679114.363:95,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=systemd-tmpfiles-clean comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=systemd-tmpfiles-clean comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
53,SYSCALL,1583679187.495:96,"arch=c000003e syscall=257 success=yes exit=3 a0=ffffff9c a1=56251e704340 a2=241 a3=1b6 items=2 ppid=5998 pid=7169 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts1 ses=5 comm=""bash"" exe=""/bin/bash"" key=""sepses""",b4cc6266,arch=c000003e syscall=<*> <*> exit=<*> <*> <*> <*> <*> items=<*> ppid=<*> pid=<*> auid=<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*> <*> ses=<*> <*> <*> <*>,"['257 success=yes', '3', 'a0=ffffff9c', 'a1=56251e704340 a2=241 a3=1b6', '2', '5998', '7169', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000 tty=pts1', '5', 'comm=""bash"" exe=""/bin/bash"" key=""sepses""']"
54,CWD,1583679187.495:96,"cwd=""/home/sepses/Documents""",979c0e27,"cwd=""/home/sepses/Documents""",[]
55,PATH,1583679187.495:96,"item=0 name=""/home/sepses/Documents"" inode=1034727 dev=08:01 mode=040755 ouid=1000 ogid=1000 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",73d5134d,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> <*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['0 name=""/home/sepses/Documents""', '1034727', '08:01', '040755', '1000', '1000', '00:00', 'nametype=PARENT', '0', '0', '0', '0']"
56,PATH,1583679187.495:96,"item=1 name=""newfile.txt"" inode=1046740 dev=08:01 mode=0100644 ouid=1000 ogid=1000 rdev=00:00 nametype=CREATE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",73d5134d,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> <*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['1 name=""newfile.txt""', '1046740', '08:01', '0100644', '1000', '1000', '00:00', 'nametype=CREATE', '0', '0', '0', '0']"
57,PROCTITLE,1583679187.495:96,"proctitle=""bash""",e558b054,"proctitle=""bash""",[]
58,USER_LOGIN,1583679301.981:97,"pid=7700 uid=0 auid=4294967295 ses=4294967295 msg='op=login acct=""root"" exe=""/usr/sbin/sshd"" hostname=? addr=222.186.175.151 terminal=sshd res=failed'",5cd0f409,"pid=<*> uid=<*> auid=<*> ses=<*> <*> acct=""root"" exe=""/usr/sbin/sshd"" <*> addr=<*> <*> res=failed'","['7700', '0', '4294967295', ""4294967295 msg='op=login"", 'hostname=?', '222.186.175.151 terminal=sshd']"
59,USER_AUTH,1583679305.229:98,"pid=7700 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:authentication acct=""root"" exe=""/usr/sbin/sshd"" hostname=222.186.175.151 addr=222.186.175.151 terminal=ssh res=failed'",5cd0f409,"pid=<*> uid=<*> auid=<*> ses=<*> <*> acct=""root"" exe=""/usr/sbin/sshd"" <*> addr=<*> <*> res=failed'","['7700', '0', '4294967295', ""4294967295 msg='op=PAM:authentication"", 'hostname=222.186.175.151', '222.186.175.151 terminal=ssh']"
60,USER_LOGIN,1583679305.233:99,"pid=7700 uid=0 auid=4294967295 ses=4294967295 msg='op=login acct=""root"" exe=""/usr/sbin/sshd"" hostname=? addr=222.186.175.151 terminal=sshd res=failed'",5cd0f409,"pid=<*> uid=<*> auid=<*> ses=<*> <*> acct=""root"" exe=""/usr/sbin/sshd"" <*> addr=<*> <*> res=failed'","['7700', '0', '4294967295', ""4294967295 msg='op=login"", 'hostname=?', '222.186.175.151 terminal=sshd']"
61,USER_AUTH,1583679308.425:100,"pid=7700 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:authentication acct=""root"" exe=""/usr/sbin/sshd"" hostname=222.186.175.151 addr=222.186.175.151 terminal=ssh res=failed'",5cd0f409,"pid=<*> uid=<*> auid=<*> ses=<*> <*> acct=""root"" exe=""/usr/sbin/sshd"" <*> addr=<*> <*> res=failed'","['7700', '0', '4294967295', ""4294967295 msg='op=PAM:authentication"", 'hostname=222.186.175.151', '222.186.175.151 terminal=ssh']"
62,USER_LOGIN,1583679308.425:101,"pid=7700 uid=0 auid=4294967295 ses=4294967295 msg='op=login acct=""root"" exe=""/usr/sbin/sshd"" hostname=? addr=222.186.175.151 terminal=sshd res=failed'",5cd0f409,"pid=<*> uid=<*> auid=<*> ses=<*> <*> acct=""root"" exe=""/usr/sbin/sshd"" <*> addr=<*> <*> res=failed'","['7700', '0', '4294967295', ""4294967295 msg='op=login"", 'hostname=?', '222.186.175.151 terminal=sshd']"
63,USER_AUTH,1583679312.033:102,"pid=7700 uid=0 auid=4294967295 ses=4294967295 msg='op=PAM:authentication acct=""root"" exe=""/usr/sbin/sshd"" hostname=222.186.175.151 addr=222.186.175.151 terminal=ssh res=failed'",5cd0f409,"pid=<*> uid=<*> auid=<*> ses=<*> <*> acct=""root"" exe=""/usr/sbin/sshd"" <*> addr=<*> <*> res=failed'","['7700', '0', '4294967295', ""4294967295 msg='op=PAM:authentication"", 'hostname=222.186.175.151', '222.186.175.151 terminal=ssh']"
